Date,Envelope,Account,Name,Notes,Amount
11/7/2025,Shopping & Fun,My Account,Thrift Books,,-11
11/7/2025,Shopping & Fun,My Account,Amazon,,-7
11/6/2025,Shopping & Fun,My Account,Amazon,,-36
11/6/2025,Groceries ,My Account,Chef’s Store,,-55
11/2/2025,Groceries ,My Account,Holiday Market,,-13
11/2/2025,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
11/2/2025,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
11/1/2025,Shopping & Fun,My Account,Freedom Flowers,,-100
11/1/2025,"Rent, Mortgage & Utilities ",My Account,YouTube Premium,,-10
11/1/2025,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
11/1/2025,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
10/28/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-6
10/28/2025,Groceries ,My Account,Food Maxx,,-17
10/26/2025,Trips and Eating out,My Account,Costco Food,,-17
10/26/2025,Groceries ,My Account,Costco ,,-331
10/26/2025,Vehicle,My Account,Gas,,-18
10/25/2025,Trips and Eating out,My Account,Check Bag,,-70
10/25/2025,Trips and Eating out,My Account,Flights To Chicago,,-680
10/23/2025,Vehicle,My Account,Gas,,-29
10/22/2025,Trips and Eating out,My Account,Coffee,,-3
10/22/2025,Vehicle,My Account,Gas,,-34
10/21/2025,Shopping & Fun,My Account,Hobby Lobby Stores,,-94
10/21/2025,Shopping & Fun,My Account,Blessing Your Life Ministries,,-25
10/20/2025,Work related travel,My Account,Quality Inn,,-100
10/16/2025,Shopping & Fun,My Account,CVS,,-54
10/15/2025,Shopping & Fun,My Account,Amazon,,-9
10/15/2025,Shopping & Fun,My Account,Restoration Christ Ministries,,-25
10/14/2025,Groceries ,My Account,Chef’s Store,,-160
10/14/2025,Shopping & Fun,My Account,Laundromat,,-20
10/14/2025,Shopping & Fun,My Account,Office Depot,,-31
10/12/2025,Shopping & Fun,My Account,Shasta Cavern Tours,,-92
10/10/2025,Groceries ,My Account,Holiday Market,,-80
10/9/2025,Groceries ,My Account,Costco,,-295
10/9/2025,Trips and Eating out,My Account,Costco Food,,-10
10/9/2025,Vehicle,My Account,Gas,,-31
10/7/2025,Shopping & Fun,My Account,Hokeman’s,,-31
10/7/2025,Shopping & Fun,My Account,Office Depot,,-3.5
10/5/2025,Groceries ,My Account,Trader Joes,,-8
10/2/2025,"Rent, Mortgage & Utilities ",My Account,Rent,Mortgage ,"-1,202.00"
10/2/2025,"Rent, Mortgage & Utilities ",My Account,Utilities,,-80
10/1/2025,Shopping & Fun,My Account,Amazon,,-227
10/1/2025,Shopping & Fun,My Account,Amazon,,-46
10/1/2025,Shopping & Fun,My Account,Amazon,,-27
10/1/2025,"Rent, Mortgage & Utilities ",My Account,YouTube Premium,,-10
10/1/2025,"Rent, Mortgage & Utilities ",My Account,Starlink Internet,,-120
10/1/2025,"Rent, Mortgage & Utilities ",My Account,Rent insurance,,-24
9/30/2025,Shopping & Fun,My Account,TJ Maxx,,-61
9/30/2025,Groceries ,My Account,Costco,,-226
9/30/2025,Vehicle,My Account,Gas,,-23
9/29/2025,Shopping & Fun,My Account,Bride Ministries,,-150
9/28/2025,Trips and Eating out,My Account,Trader Joe’s,,-59
9/28/2025,Trips and Eating out,My Account,Coffee,,-3
9/26/2025,Vehicle,My Account,Gas,,-22
9/25/2025,Groceries ,My Account,Costco,,-62
9/25/2025,Vehicle,My Account,Gas,,-19
9/24/2025,Groceries ,My Account,Wildly Organic,,-115
